supermercado,marca_buscada,termino,url_busqueda,fecha_consulta,presentacion,precio,precio_ml_sitio,enlace
Carulla,Club Colombia,club colombia,https://www.carulla.com/s?q=club%20colombia,2026-09-16 19:16:44,Cerveza CLUB COLOMBIA latón dorada (473 ml),5400,11.42,https://www.carulla.com/cerveza-club-colombia-laton-cerveza-473-ml-3176315/p
Carulla,Club Colombia,club colombia,https://www.carulla.com/s?q=club%20colombia,2026-09-16 19:16:44,Cerveza CLUB COLOMBIA lata negra (1980 ml),22200,11.21,https://www.carulla.com/cerveza-x6-lata-negra-276293/p
Carulla,Club Colombia,club colombia,https://www.carulla.com/s?q=club%20colombia,2026-09-16 19:16:44,Clob X Clobetasol Propionato .05% (P/V)/0 Cha Topica Caj 1 Fra 125 Ml,161373,NA,https://www.carulla.com/clob-x-clobetasol-propionato-05-p-v-cha-topica-caj-1-fra-125-ml-100685280-mp/p
Jumbo,Stella Artois,stella artois,https://www.tiendasjumbo.co/stella%20artois?_q=stella%20artois&map=ft,2026-09-16 19:17:30,Cerveza Stella Artois Botella Sixpack x300ml c-u,25290,NA,https://www.tiendasjumbo.co/cerveza-stella-artois-botella-sixpack-x300ml-c-u/p
Jumbo,Stella Artois,stella artois,https://www.tiendasjumbo.co/stella%20artois?_q=stella%20artois&map=ft,2026-09-16 19:17:30,Cerveza Stella Artois Sixpack Lata x269ml c-u,24590,NA,https://www.tiendasjumbo.co/cerveza-stella-artois-sixpack-lata-x269ml-c-u/p
Jumbo,Stella Artois,stella artois,https://www.tiendasjumbo.co/stella%20artois?_q=stella%20artois&map=ft,2026-09-16 19:17:30,Cerveza Stella Artois Botella x300ml,4500,NA,https://www.tiendasjumbo.co/cerveza-stella-artois-botella-x300ml/p
Jumbo,Stella Artois,stella artois,https://www.tiendasjumbo.co/stella%20artois?_q=stella%20artois&map=ft,2026-09-16 19:17:30,Cerveza Stella Artois botella x330ml,5100,NA,https://www.tiendasjumbo.co/cerveza-stella-artois-bot-x330ml-3453901/p
Jumbo,Stella Artois,stella artois,https://www.tiendasjumbo.co/stella%20artois?_q=stella%20artois&map=ft,2026-09-16 19:17:30,Cerveza Stella Artois Lata x269ml,4090,NA,https://www.tiendasjumbo.co/cerveza-stella-artois-lata-x269ml/p
Jumbo,Club Colombia,club colombia,https://www.tiendasjumbo.co/club%20colombia?_q=club%20colombia&map=ft,2026-09-16 19:17:54,Cerveza Club Colombia Dorada lata x6und x330ml c-u,22800,NA,https://www.tiendasjumbo.co/cerveza-club-colombia-dorada-lata-x-330ml-sixpack/p
Jumbo,Club Colombia,club colombia,https://www.tiendasjumbo.co/club%20colombia?_q=club%20colombia&map=ft,2026-09-16 19:17:54,Cerveza Club Colombia Trigo Lata 330ml x6 Und,23990,NA,https://www.tiendasjumbo.co/cerveza-club-colombia-trigo-lata-330ml-x6-und/p
Jumbo,Club Colombia,club colombia,https://www.tiendasjumbo.co/club%20colombia?_q=club%20colombia&map=ft,2026-09-16 19:17:54,Cerveza Club Colombia Roja lata x6und x330ml,22800,NA,https://www.tiendasjumbo.co/cerveza-club-colombia-roja-lata-sixpack-x-330-ml/p
Jumbo,Club Colombia,club colombia,https://www.tiendasjumbo.co/club%20colombia?_q=club%20colombia&map=ft,2026-09-16 19:17:54,Cerveza Club Colombia Lata 6 Unidades 473 C-U,29400,NA,https://www.tiendasjumbo.co/cerveza-club-colombia-lata-6-unidades-473/p
Jumbo,Club Colombia,club colombia,https://www.tiendasjumbo.co/club%20colombia?_q=club%20colombia&map=ft,2026-09-16 19:17:54,Cerveza Club Colombia Dorada x6und x330ml c-u,24550,NA,https://www.tiendasjumbo.co/cerveza-club-colombia-sixpack-botella-x-330-ml/p
Jumbo,Club Colombia,club colombia,https://www.tiendasjumbo.co/club%20colombia?_q=club%20colombia&map=ft,2026-09-16 19:17:54,Cerveza Club Colombia Trigo Lata 330ml x1 Und,3690,NA,https://www.tiendasjumbo.co/cerveza-club-colombia-trigo-lata-330ml-x1-und/p
Jumbo,Club Colombia,club colombia,https://www.tiendasjumbo.co/club%20colombia?_q=club%20colombia&map=ft,2026-09-16 19:17:54,Cerveza Club Colombia Roja lata x330ml,3790,NA,https://www.tiendasjumbo.co/cerveza-roja-club-colombia-lata-x-330-ml/p
Jumbo,Club Colombia,club colombia,https://www.tiendasjumbo.co/club%20colombia?_q=club%20colombia&map=ft,2026-09-16 19:17:54,Cerveza Club Colombia Dorada lata x330ml,3790,NA,https://www.tiendasjumbo.co/cerveza-club-colombia-lata-x-330ml/p
Jumbo,Club Colombia,club colombia,https://www.tiendasjumbo.co/club%20colombia?_q=club%20colombia&map=ft,2026-09-16 19:17:54,Cerveza Club Colombia Dorada botella x330ml,4090,NA,https://www.tiendasjumbo.co/cerveza-club-colombia-botella-x-330-ml/p
Jumbo,Club Colombia,club colombia,https://www.tiendasjumbo.co/club%20colombia?_q=club%20colombia&map=ft,2026-09-16 19:17:54,Cerveza Club Colombia Lata 473 ml,4290,NA,https://www.tiendasjumbo.co/cerveza-club-colombia-lata-473-ml/p
