fecha,high,low,url_origen
2024-10-14,20,10,https://www.accuweather.com/es/co/bogota/107487/october-weather/107487?year=2024
2024-10-15,18,9,https://www.accuweather.com/es/co/bogota/107487/october-weather/107487?year=2024
2024-10-16,18,7,https://www.accuweather.com/es/co/bogota/107487/october-weather/107487?year=2024
2024-10-17,19,7,https://www.accuweather.com/es/co/bogota/107487/october-weather/107487?year=2024
2024-10-18,19,8,https://www.accuweather.com/es/co/bogota/107487/october-weather/107487?year=2024
2024-10-19,18,7,https://www.accuweather.com/es/co/bogota/107487/october-weather/107487?year=2024
2024-10-20,19,8,https://www.accuweather.com/es/co/bogota/107487/october-weather/107487?year=2024
2024-10-21,19,8,https://www.accuweather.com/es/co/bogota/107487/october-weather/107487?year=2024
2024-10-22,19,8,https://www.accuweather.com/es/co/bogota/107487/october-weather/107487?year=2024
2024-10-23,18,8,https://www.accuweather.com/es/co/bogota/107487/october-weather/107487?year=2024
2024-10-24,17,8,https://www.accuweather.com/es/co/bogota/107487/october-weather/107487?year=2024
2024-10-25,19,8,https://www.accuweather.com/es/co/bogota/107487/october-weather/107487?year=2024
2024-10-26,19,8,https://www.accuweather.com/es/co/bogota/107487/october-weather/107487?year=2024
2024-10-27,18,8,https://www.accuweather.com/es/co/bogota/107487/october-weather/107487?year=2024
2024-10-28,17,8,https://www.accuweather.com/es/co/bogota/107487/october-weather/107487?year=2024
2024-10-29,17,9,https://www.accuweather.com/es/co/bogota/107487/october-weather/107487?year=2024
2024-10-30,18,8,https://www.accuweather.com/es/co/bogota/107487/october-weather/107487?year=2024
2024-11-01,21,10,https://www.accuweather.com/es/co/bogota/107487/november-weather/107487?year=2024
2024-11-02,31,12,https://www.accuweather.com/es/co/bogota/107487/november-weather/107487?year=2024
2024-11-03,19,10,https://www.accuweather.com/es/co/bogota/107487/november-weather/107487?year=2024
2024-11-04,20,9,https://www.accuweather.com/es/co/bogota/107487/november-weather/107487?year=2024
